segment,vehown,income,pTAZID,aTAZID,p_DISTLRG,a_DISTLRG,trip_weight_12,trip_weight_23
1veh_hi,1,hi,533.0,326.0,5.0,4.0,0.0,497.3364608
1veh_hi,1,hi,537.0,422.0,5.0,4.0,0.0,189.57441665000002
1veh_hi,1,hi,537.0,555.0,5.0,5.0,231.735784,0.0
1veh_hi,1,hi,542.0,1336.0,5.0,12.0,135.042596,0.0
1veh_hi,1,hi,543.0,631.0,5.0,8.0,270.085192,0.0
1veh_hi,1,hi,546.0,548.0,5.0,5.0,67.521298,0.0
1veh_hi,1,hi,546.0,565.0,5.0,5.0,67.521298,0.0
1veh_hi,1,hi,547.0,751.0,5.0,8.0,0.0,249.2996688
1veh_hi,1,hi,566.0,761.0,5.0,8.0,134.67969606,0.0
1veh_hi,1,hi,566.0,780.0,5.0,9.0,0.0,135.8216508
1veh_hi,1,hi,568.0,326.0,5.0,4.0,0.0,232.586372
1veh_hi,1,hi,572.0,398.0,5.0,5.0,0.0,45.23846667
1veh_hi,1,hi,572.0,550.0,5.0,5.0,0.0,407.14620003
1veh_hi,1,hi,596.0,991.0,8.0,14.0,0.0,57.23789333
1veh_hi,1,hi,600.0,1861.0,8.0,16.0,0.0,95.18444667
1veh_hi,1,hi,607.0,674.0,8.0,8.0,191.48430394,0.0
1veh_hi,1,hi,621.0,304.0,8.0,4.0,345.334099,0.0
1veh_hi,1,hi,627.0,634.0,8.0,8.0,0.0,746.9527152000001
1veh_hi,1,hi,635.0,511.0,8.0,4.0,0.0,187.79967999000002
1veh_hi,1,hi,636.0,333.0,8.0,4.0,296.8326456,0.0
1veh_hi,1,hi,636.0,636.0,8.0,8.0,0.0,0.0
1veh_hi,1,hi,637.0,631.0,8.0,8.0,0.0,266.5820384
1veh_hi,1,hi,648.0,979.0,8.0,12.0,422.3032516,0.0
1veh_hi,1,hi,661.0,1575.0,8.0,12.0,0.0,448.6812912
